model,n_features,mean_fold_auc,fold_auc_std,oof_auc,oof_brier_score,sensitivity_at_0.50,specificity_at_0.50
Three-variable benchmark,3,0.7362525233964446,0.01424120189229774,0.736100624762129,0.13001712249742,0.2708158116063919,0.9719136449381681
Five-variable model,5,0.7853486133079521,0.008977001242648077,0.7852691099277084,0.12285758697055219,0.3036164844407065,0.971075246279606
