variable,standardized_coefficient,odds_ratio_per_1sd
DELINQ,0.7838637758527636,2.189917289695246
CLAGE,-0.5500517412917936,0.5769199590242781
DEROG,0.45810545948906845,1.5810757337086563
DEBTINC,0.4534222887189165,1.5736885971594092
NINQ,0.23469542113889938,1.2645235629264657
