,precision,recall,f1-score,support
0,0.8483794176890679,0.971075246279606,0.9055903049257232,4771.0
1,0.7234468937875751,0.3036164844407065,0.4277251184834123,1189.0
accuracy,0.8379194630872483,0.8379194630872483,0.8379194630872483,0.8379194630872483
macro avg,0.7859131557383214,0.6373458653601562,0.6666577117045678,5960.0
weighted avg,0.8234557984073775,0.8379194630872483,0.8102578038049334,5960.0
